+1.54648610E+7.80130450E+00
+7.71723810E+00
+7.73768630E+00
+7.78846920E+00
+7.78541630E+00
+7.58188250E+00
+7.80463030E+00
+7.76309740E+00
+7.71308090E+00
+7.78609180E+00
+7.77350340E+00
+7.73932310E+00
+7.79315900E+00
+7.79757600E+00
+7.72159020E+00
+7.75000190E+00
+7.81541290E+00
+7.73771220E+00
