-4.70184000E-04,-4.69665000E-04
-4.70184000E-04,-4.69665000E-04,-7.78000000E-07,-3.66246000E-04
-4.70184000E-04,-4.69665000E-04,-7.78000000E-07,-3.66246000E-04,+1.05104000E-04,-2.98100000E-06
-4.70184000E-04,-4.69665000E-04,-7.78000000E-07,-3.66246000E-04,+1.05104000E-04,-2.98100000E-06,-1.08215000E-04,+1.08474000E-04
-4.70184000E-04,-4.69665000E-04,-7.78000000E-07,-3.66246000E-04,+1.05104000E-04,-2.98100000E-06,-1.08215000E-04,+1.08474000E-04,-3.62228000E-04,-1.00050000E-04
-4.70184000E-04,-4.69665000E-04,-7.78000000E-07,-3.66246000E-04,+1.05104000E-04,-2.98100000E-06,-1.08215000E-04,+1.08474000E-04,-3.62228000E-04,-1.00050000E-04,-1.12232000E-04,-2.07747000E-04
-4.70184000E-04,-4.69665000E-04,-7.78000000E-07,-3.66246000E-04,+1.05104000E-04,-2.98100000E-06,-1.08215000E-04,+1.08474000E-04,-3.62228000E-04,-1.00050000E-04,-1.12232000E-04,-2.07747000E-04,+1.60961000E-04,-1.07826000E-04
-4.70184000E-04,-4.69665000E-04,-7.78000000E-07,-3.66246000E-04,+1.05104000E-04,-2.98100000E-06,-1.08215000E-04,+1.08474000E-04,-3.62228000E-04,-1.00050000E-04,-1.12232000E-04,-2.07747000E-04,+1.60961000E-04,-1.07826000E-04,+5.71530000E-05,+1.07308000E-04
-4.70184000E-04,-4.69665000E-04,-7.78000000E-07,-3.66246000E-04,+1.05104000E-04,-2.98100000E-06,-1.08215000E-04,+1.08474000E-04,-3.62228000E-04,-1.00050000E-04,-1.12232000E-04,-2.07747000E-04,+1.60961000E-04,-1.07826000E-04,+5.71530000E-05,+1.07308000E-04,-2.33300000E-06,+1.60961000E-04
-4.70184000E-04,-4.69665000E-04,-7.78000000E-07,-3.66246000E-04,+1.05104000E-04,-2.98100000E-06,-1.08215000E-04,+1.08474000E-04,-3.62228000E-04,-1.00050000E-04,-1.12232000E-04,-2.07747000E-04,+1.60961000E-04,-1.07826000E-04,+5.71530000E-05,+1.07308000E-04,-2.33300000E-06,+1.60961000E-04,-2.13449000E-04,+5.18390000E-05
